UMAP1,UMAP2,ID,height_above,labels_k2,labels_k3,labels_k4,labels_k5,labels_k6,labels_k7,labels_k8,labels_k9,labels_k10
11.255357,5.151229,4355,0.341376,0,1,1,1,0,2,2,0,4
11.706124,5.952163,3334,0.0,0,1,1,1,0,2,2,0,4
10.429396,17.445625,7454,2.6347928,1,0,0,0,1,0,3,3,3
16.059881,10.44941,2866,1.2192,0,2,2,2,2,6,6,6,6
9.959407,11.071365,6242,0.79248,1,0,0,0,1,0,1,1,0
2.2613971,13.543375,6136,0.310896,1,0,0,0,5,5,5,5,5
-8.101561,10.579581,8077,2.779776,1,0,3,3,3,3,7,7,7
13.373811,11.230164,2801,1.40208,0,2,2,2,2,6,6,6,6
9.617368,16.891525,7388,0.5334,1,0,0,0,1,0,3,3,3
10.18212,6.4195566,3203,0.451104,0,1,1,1,0,2,2,0,4
12.669713,23.725649,7513,0.509016,1,0,0,4,4,4,4,4,9
6.287382,-4.918229,793,0.4754879999999999,0,1,1,1,0,1,0,8,8
7.7848954,18.577538,7447,1.207008,1,0,0,0,1,0,3,3,3
6.2237563,-4.8688025,790,0.4754879999999999,0,1,1,1,0,1,0,8,8
4.555581,15.75152,7368,1.892808,1,0,0,0,1,0,1,1,0
4.8878784,16.607666,7616,1.243584,1,0,0,0,1,0,3,3,3
10.185021,0.9345005,4037,0.13716,0,1,1,1,0,2,2,0,1
6.0064945,-5.721848,774,1.5392400000000002,0,1,1,1,0,1,0,8,8
10.195532,0.9993369,3998,1.133856,0,1,1,1,0,2,2,0,1
16.382257,10.31978,2872,0.7111999999999999,0,2,2,2,2,6,6,6,6
1.2630403,12.702893,6590,0.0,1,0,0,0,5,5,5,5,5
10.203765,17.210546,7228,0.8382,1,0,0,0,1,0,3,3,3
-7.500368,6.704723,5471,0.542544,1,0,3,3,3,3,7,7,7
2.5657325,11.910185,5316,0.41656,1,0,0,0,5,5,5,5,5
12.395506,24.35531,7554,0.612648,1,0,0,4,4,4,4,4,9
16.870157,11.073709,2729,2.161032,0,2,2,2,2,6,6,6,6
8.901593,1.5957829,3324,3.61188,0,1,1,1,0,2,2,0,1
6.2104836,2.9943705,3637,0.0,0,1,1,1,0,2,2,0,1
16.674963,10.14954,2692,0.28956,0,2,2,2,2,6,6,6,6
11.777628,6.037375,3332,0.246888,0,1,1,1,0,2,2,0,4
8.838184,1.6221207,3767,0.0,0,1,1,1,0,2,2,0,1
9.6151,11.016822,6137,0.88392,1,0,0,0,1,0,1,1,0
7.779974,18.827696,7417,0.3048,1,0,0,0,1,0,3,3,3
8.814319,16.59268,7348,0.566928,1,0,0,0,1,0,3,3,3
12.675861,23.746513,7550,0.935736,1,0,0,4,4,4,4,4,9
-7.357338,6.3582516,5338,0.804672,1,0,3,3,3,3,7,7,7
10.252287,0.9566787,3694,1.267968,0,1,1,1,0,2,2,0,1
8.725746,1.7460507,3748,0.771144,0,1,1,1,0,2,2,0,1
10.289474,1.019019,4039,0.0,0,1,1,1,0,2,2,0,1
13.253853,11.314579,7529,1.05156,0,2,2,2,2,6,6,6,6
5.9783516,17.502619,7633,0.246888,1,0,0,0,1,0,3,3,3
9.008886,17.346264,7484,0.0,1,0,0,0,1,0,3,3,3
13.281556,11.276738,6266,1.420368,0,2,2,2,2,6,6,6,6
11.739983,4.069794,3253,2.4384,0,1,1,1,0,2,2,0,4
5.998931,13.607664,7655,0.1524,1,0,0,0,1,0,1,1,0
11.765513,4.688021,3497,0.0,0,1,1,1,0,2,2,0,4
17.088589,10.393608,2735,0.41148,0,2,2,2,2,6,6,6,6
16.725368,11.029849,2727,0.618744,0,2,2,2,2,6,6,6,6
0.8647391,12.052183,6550,0.0,1,0,0,0,5,5,5,5,5
15.431547,23.039785,7425,0.652272,1,0,0,4,4,4,4,4,9
8.249683,18.298601,7308,0.3048,1,0,0,0,1,0,3,3,3
2.5741065,13.934508,6176,0.3048,1,0,0,0,5,5,5,5,5
7.780555,18.549162,7441,0.762,1,0,0,0,1,0,3,3,3
11.238616,4.0555863,4280,0.0,0,1,1,1,0,2,2,0,4
-7.555603,6.572543,5425,0.246888,1,0,3,3,3,3,7,7,7
6.3599353,12.091198,7282,1.685544,1,0,0,0,1,0,1,1,0
10.105949,10.813355,6384,0.542544,1,0,0,0,1,0,1,1,0
7.7320356,2.8461902,14688,0.1524,0,1,1,1,0,2,2,0,1
11.569338,2.2558737,3274,1.2192,0,1,1,1,0,2,2,0,1
-7.367078,6.4501653,5360,1.0668,1,0,3,3,3,3,7,7,7
8.234645,18.314571,7307,0.762,1,0,0,0,1,0,3,3,3
0.6735664,12.152408,6531,0.0,1,0,0,0,5,5,5,5,5
6.139775,13.774335,7657,0.676656,1,0,0,0,1,0,1,1,0
10.127748,10.994783,6162,0.984504,1,0,0,0,1,0,1,1,0
7.930577,2.7028782,14690,0.57912,0,1,1,1,0,2,2,0,1
3.4516027,11.98478,5497,1.03632,1,0,0,0,5,5,5,5,5
12.07702,2.311916,3735,0.3048,0,1,1,1,0,2,2,0,1
5.8544188,-4.584065,785,1.42748,0,1,1,1,0,1,0,8,8
17.223856,8.149884,2841,1.959864,0,2,2,2,2,6,6,6,6
12.138553,3.8598974,4865,0.418592,0,1,1,1,0,2,2,0,4
2.5343602,13.94448,6175,0.140208,1,0,0,0,5,5,5,5,5
14.175836,10.164275,6095,0.33528,0,2,2,2,2,6,6,6,6
12.203608,3.6563256,4861,0.57404,0,1,1,1,0,2,2,0,4
6.227763,-5.0219917,6285,0.0,0,1,1,1,0,1,0,8,8
2.4651413,12.409593,6036,0.0,1,0,0,0,5,5,5,5,5
6.208464,2.6205235,3483,0.542544,0,1,1,1,0,2,2,0,1
9.973142,6.566693,3195,0.545592,0,1,1,1,0,2,2,0,4
3.3030112,11.67323,5495,0.6096,1,0,0,0,5,5,5,5,5
