k,silhouette
2,0.48088088631629944
3,0.4769558608531952
4,0.5211642384529114
5,0.5597541332244873
6,0.5605982542037964
7,0.5635374188423157
8,0.6025499105453491
9,0.6129597425460815
10,0.5980774760246277
