ID,Actual_height_above,Predicted_height_above,Residual,Absolute_Residual
770,1.5392400000000002,1.5339542600000036,0.005285739999996597,0.005285739999996597
771,1.690624,1.6893878666666735,0.0012361333333263946,0.0012361333333263946
772,1.690624,1.6882258166666742,0.002398183333325754,0.002398183333325754
773,1.5392400000000002,1.5245820833333368,0.014657916666663384,0.014657916666663384
774,1.5392400000000002,1.5245820833333368,0.014657916666663384,0.014657916666663384
775,1.5392400000000002,1.5339542600000036,0.005285739999996597,0.005285739999996597
776,1.690624,1.6882258166666742,0.002398183333325754,0.002398183333325754
777,1.690624,1.6893878666666735,0.0012361333333263946,0.0012361333333263946
778,1.5392400000000002,1.5245820833333368,0.014657916666663384,0.014657916666663384
779,1.5392400000000002,1.5245820833333368,0.014657916666663384,0.014657916666663384
780,1.545336,1.5989867266666677,-0.0536507266666677,0.0536507266666677
781,1.6906240000000003,1.6636309966666694,0.02699300333333099,0.02699300333333099
782,1.42748,1.4271853600000022,0.00029463999999790325,0.00029463999999790325
783,1.42748,1.4301774800000024,-0.0026974800000023613,0.0026974800000023613
784,1.545336,1.532857826666667,0.01247817333333301,0.01247817333333301
785,1.42748,1.4301774800000024,-0.0026974800000023613,0.0026974800000023613
786,1.6906240000000003,1.6636309966666694,0.02699300333333099,0.02699300333333099
787,1.42748,1.4271853600000022,0.00029463999999790325,0.00029463999999790325
788,1.42748,1.4271853600000022,0.00029463999999790325,0.00029463999999790325
789,1.42748,1.4271853600000022,0.00029463999999790325,0.00029463999999790325
790,0.4754879999999999,0.46692481333333224,0.008563186666667666,0.008563186666667666
791,0.4754879999999999,0.47995289666666574,-0.00446489666666583,0.00446489666666583
792,1.545336,1.5368367366666673,0.00849926333333273,0.00849926333333273
793,0.4754879999999999,0.46692481333333224,0.008563186666667666,0.008563186666667666
794,0.4754879999999999,0.47995289666666574,-0.00446489666666583,0.00446489666666583
795,1.545336,1.5368367366666673,0.00849926333333273,0.00849926333333273
796,0.4754879999999999,0.47995289666666574,-0.00446489666666583,0.00446489666666583
797,1.545336,1.5368367366666673,0.00849926333333273,0.00849926333333273
2495,0.845312,0.8976161638095239,-0.05230416380952396,0.05230416380952396
2496,0.954024,0.9988355871428574,-0.04481158714285738,0.04481158714285738
2499,0.902208,0.9480846938095238,-0.04587669380952375,0.04587669380952375
2500,1.130808,0.9720288504761909,0.15877914952380912,0.15877914952380912
2502,0.890016,0.8685306238095244,0.021485376190475636,0.021485376190475636
2506,0.557784,1.0359521838095231,-0.4781681838095232,0.4781681838095232
2508,0.957072,0.9304609038095246,0.026611096190475414,0.026611096190475414
2521,0.10668,0.29485717,-0.18817717,0.18817717
2528,1.225296,1.2038939599999992,0.021402040000000788,0.021402040000000788
2542,1.08204,1.0714260173333334,0.010613982666666466,0.010613982666666466
2543,0.0,0.14737969000000006,-0.14737969000000006,0.14737969000000006
2544,0.09144,0.70041389,-0.60897389,0.60897389
2545,0.0,0.19214634333333344,-0.19214634333333344,0.19214634333333344
2546,0.3048,0.2789567700000003,0.025843229999999717,0.025843229999999717
2547,0.27432,0.2754909400000003,-0.0011709400000002868,0.0011709400000002868
2548,0.3048,0.40573350400000036,-0.10093350400000034,0.10093350400000034
2549,2.4384,1.7212896739999999,0.7171103260000002,0.7171103260000002
2550,0.329184,0.4029699840000003,-0.0737859840000003,0.0737859840000003
2552,0.28956,0.30891124400000003,-0.019351244000000045,0.019351244000000045
2555,0.9144,0.41510991400000036,0.49929008599999963,0.49929008599999963
2687,1.31064,1.628441625,-0.317801625,0.317801625
2688,1.95072,1.9599985292857167,-0.009278529285716708,0.009278529285716708
2689,2.1336,1.9616558792857166,0.17194412071428333,0.17194412071428333
2690,2.1336,1.9802659150000022,0.1533340849999978,0.1533340849999978
2691,0.7111999999999999,0.7705657266666672,-0.059365726666667284,0.059365726666667284
2692,0.28956,0.67462012347619,-0.38506012347619006,0.38506012347619006
2693,2.660904,2.5581952900000062,0.10270870999999371,0.10270870999999371
2694,0.088392,2.2360471504761903,-2.1476551504761905,2.1476551504761905
2695,2.801112,2.536019650666664,0.2650923493333357,0.2650923493333357
2704,0.06096,0.3643270166666667,-0.3033670166666667,0.3033670166666667
2705,0.762,0.5541484133333331,0.20785158666666692,0.20785158666666692
2706,0.0,0.42949622,-0.42949622,0.42949622
2707,0.4470399999999999,0.44107904333333325,0.005960956666666628,0.005960956666666628
2708,1.353312,1.4048409800000004,-0.05152898000000028,0.05152898000000028
2709,1.389888,1.4048409800000004,-0.014952980000000338,0.014952980000000338
2710,1.77292,1.700332726666666,0.07258727333333415,0.07258727333333415
2711,1.53924,1.6152655866666665,-0.07602558666666659,0.07602558666666659
2712,1.7109440000000002,1.6628135399999993,0.048130460000000985,0.048130460000000985
2713,1.3716,1.0879924899999995,0.2836075100000004,0.2836075100000004
2714,1.9812,1.0879924899999995,0.8932075100000005,0.8932075100000005
2715,1.700784,1.1564294033333335,0.5443545966666665,0.5443545966666665
2716,2.078736,1.1564294033333335,0.9223065966666666,0.9223065966666666
2725,0.972312,1.057086616666667,-0.08477461666666708,0.08477461666666708
2726,0.728472,1.1003864200000002,-0.3719144200000002,0.3719144200000002
2727,0.618744,0.7499797463333335,-0.13123574633333357,0.13123574633333357
2728,0.810768,0.7912475496666665,0.019520450333333494,0.019520450333333494
2729,2.161032,1.827934537333335,0.33309746266666496,0.33309746266666496
2730,2.404872,1.9855605873333355,0.4193114126666646,0.4193114126666646
2731,1.289304,1.8470429573333353,-0.5577389573333353,0.5577389573333353
