ID,S1_Date,peak_date,precipitation
9766,2022-10-02,10/7/2022 2:54:10 PM,0.0
9767,2022-10-02,10/7/2022 2:54:10 PM,0.0
14010,2019-05-10,5/17/2019 1:47:45 PM,0.0
14011,2019-05-10,5/17/2019 1:47:45 PM,0.0
14021,2019-03-12,3/17/2019 3:00:00 AM,0.0
14022,2019-03-12,3/17/2019 3:00:00 AM,0.0
14023,2019-03-12,3/17/2019 3:00:00 AM,0.0
14059,2019-03-12,3/17/2019 3:00:00 AM,0.0
14060,2019-03-12,3/17/2019 3:00:00 AM,0.0
14061,2019-03-12,3/17/2019 3:00:00 AM,0.0
14062,2019-03-12,3/17/2019 3:00:00 AM,0.0
14064,2019-03-12,3/17/2019 3:00:00 AM,0.0
14119,2019-03-12,3/17/2019 3:00:00 AM,0.0
14684,2019-05-29,6/5/2019 5:00:00 AM,2.890382766723633
14685,2019-05-29,6/5/2019 5:00:00 AM,2.890382766723633
14686,2019-05-29,6/5/2019 5:00:00 AM,2.890382766723633
14687,2019-05-29,6/5/2019 5:00:00 AM,2.890382766723633
14688,2019-05-29,6/5/2019 5:00:00 AM,2.890382766723633
14689,2019-05-29,6/5/2019 5:00:00 AM,2.890382766723633
14690,2019-05-29,6/5/2019 5:00:00 AM,3.2084004878997803
14691,2019-05-29,6/5/2019 5:00:00 AM,3.2084004878997803
14692,2019-05-29,6/5/2019 12:00:00 PM,4.529938697814941
14693,2019-05-29,6/5/2019 12:00:00 PM,4.529938697814941
14706,2019-05-29,6/5/2019 6:00:00 AM,3.0071041584014893
14707,2019-05-29,6/5/2019 6:00:00 AM,3.0071041584014893
14708,2019-05-29,6/5/2019 10:00:00 AM,2.0224852561950684
14711,2019-05-29,6/5/2019 10:00:00 AM,2.0224852561950684
14714,2019-05-29,6/5/2019 3:45:00 PM,2.890382766723633
14715,2019-05-29,6/5/2019 3:45:00 PM,2.890382766723633
14720,2019-05-29,6/5/2019 6:00:00 AM,2.0224852561950684
14721,2019-05-29,6/5/2019 6:00:00 AM,2.0224852561950684
14855,2019-05-15,5/21/2019 5:00:00 AM,19.2493896484375
14856,2019-05-15,5/21/2019 5:00:00 AM,12.126312255859375
14925,2019-05-15,5/22/2019 11:00:00 AM,62.15151596069336
14926,2019-05-17,5/22/2019 10:00:00 PM,24.676437377929688
14928,2019-05-17,5/22/2019 10:00:00 PM,24.676437377929688
14930,2019-05-15,5/22/2019 11:00:00 AM,62.15151596069336
14931,2019-05-17,5/22/2019 10:00:00 PM,24.676437377929688
14932,,5/22/2019 11:00:00 AM,62.15151596069336
14943,2019-05-15,5/22/2019 12:00:00 AM,68.4901123046875
14947,2019-05-15,5/22/2019 12:00:00 AM,64.3051986694336
14948,2019-05-15,5/22/2019 12:00:00 PM,68.4901123046875
15096,2019-05-15,5/22/2019 12:00:00 AM,63.924034118652344
15101,2019-05-15,5/22/2019 12:00:00 AM,64.3051986694336
15105,2019-05-15,5/22/2019 12:00:00 AM,57.7432861328125
15108,2019-05-15,5/22/2019 12:00:00 AM,57.7432861328125
15110,2019-05-15,5/22/2019 12:00:00 AM,63.924034118652344
15134,2019-05-15,5/22/2019 12:00:00 AM,57.7432861328125
15137,2019-05-15,5/22/2019 12:00:00 AM,57.7432861328125
