ID,peak_date,nlcd_year,total_area_km2,pct_area_1,pct_area_2,area_km_1,area_km_2,cai_1,cai_2
770,8/25/2016 12:00:00 PM,2016,9.1809,7.695323987844328,4.960298009999019,0.7065,0.4554,12.198391420911529,0.0
771,8/25/2016 12:00:00 PM,2016,9.1809,10.7930595039702,9.41084207430644,0.9909,0.864,17.604790419161677,0.0
772,8/25/2016 7:03:10 PM,2016,9.1809,10.695029899029507,9.41084207430644,0.9819,0.864,17.804878048780488,0.0
773,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0
774,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0
775,8/25/2016 12:00:00 PM,2016,9.1809,7.695323987844328,4.960298009999019,0.7065,0.4554,12.198391420911529,0.0
776,8/25/2016 7:03:10 PM,2016,9.1809,10.695029899029507,9.41084207430644,0.9819,0.864,17.804878048780488,0.0
777,8/25/2016 12:00:00 PM,2016,9.1809,10.7930595039702,9.41084207430644,0.9909,0.864,17.604790419161677,0.0
778,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0
779,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0
780,8/25/2016 12:00:00 PM,2016,9.1809,6.117047348299186,0.5293598666797372,0.5616,0.0486,15.909090909090908,0.0
781,8/25/2016 12:00:00 PM,2016,9.1809,6.058229585334772,0.5195569061856681,0.5562,0.0477,15.853658536585366,0.0
782,8/25/2016 12:00:00 PM,2016,9.1809,5.7347318890304875,0.6371924321144986,0.5265,0.0585,5.0359712230215825,0.0
783,8/25/2016 12:00:00 PM,2016,9.1809,5.842564454465248,0.6469953926085679,0.5364,0.0594,5.178571428571429,0.0
784,8/25/2016 12:00:00 PM,2016,9.1809,3.4506420939123617,0.5293598666797372,0.3168,0.0486,0.0,0.0
785,8/25/2016 12:00:00 PM,2016,9.1809,5.842564454465248,0.6469953926085679,0.5364,0.0594,5.178571428571429,0.0
786,8/25/2016 12:00:00 PM,2016,9.1809,6.058229585334772,0.5195569061856681,0.5562,0.0477,15.853658536585366,0.0
787,8/25/2016 12:00:00 PM,2016,9.1809,5.7347318890304875,0.6371924321144986,0.5265,0.0585,5.0359712230215825,0.0
788,8/25/2016 12:00:00 PM,2016,9.1809,5.7347318890304875,0.6371924321144986,0.5265,0.0585,5.0359712230215825,0.0
789,8/25/2016 12:00:00 PM,2016,9.1809,5.7347318890304875,0.6371924321144986,0.5265,0.0585,5.0359712230215825,0.0
790,8/25/2016 12:00:00 PM,2016,9.1809,7.55808254092736,1.215567101264582,0.6939,0.1116,8.630952380952381,10.0
791,8/25/2016 12:00:00 PM,2016,9.1809,7.56788550142143,1.264581903734928,0.6948,0.1161,8.172362555720653,10.0
792,8/25/2016 12:00:00 PM,2016,9.1809,3.4506420939123617,0.5293598666797372,0.3168,0.0486,17.391304347826086,0.0
793,8/25/2016 12:00:00 PM,2016,9.1809,7.55808254092736,1.215567101264582,0.6939,0.1116,8.630952380952381,10.0
794,8/25/2016 12:00:00 PM,2016,9.1809,7.56788550142143,1.264581903734928,0.6948,0.1161,8.172362555720653,10.0
795,8/25/2016 12:00:00 PM,2016,9.1809,3.4506420939123617,0.5293598666797372,0.3168,0.0486,17.391304347826086,0.0
796,8/25/2016 12:00:00 PM,2016,9.1809,7.56788550142143,1.264581903734928,0.6948,0.1161,8.172362555720653,10.0
797,8/25/2016 12:00:00 PM,2016,9.1809,3.4506420939123617,0.5293598666797372,0.3168,0.0486,17.391304347826086,0.0
2495,10/11/2016 4:00:00 PM,2016,9.1809,7.901186158219782,4.019213802568376,0.7254,0.369,15.816993464052288,0.0
2496,10/11/2016 4:00:00 PM,2016,9.1809,11.175374963238898,5.7347318890304875,1.026,0.5265,18.602455146364495,35.13513513513514
2499,10/11/2016 4:00:00 PM,2016,9.1809,11.371434173120281,5.666111165572003,1.044,0.5202,18.17351598173516,0.0
2500,10/11/2016 4:00:00 PM,2016,9.1809,9.842172336045486,5.793549651994902,0.9036,0.5319,0.0,35.13513513513514
2502,10/11/2016 4:00:00 PM,2016,9.1809,9.851975296539555,5.7739437310067645,0.9045,0.5301,20.043336944745395,35.13513513513514
2506,10/11/2016 4:00:00 PM,2016,9.1809,11.03813351632193,5.960199980394079,1.0134,0.5472,18.3803457688808,35.13513513513514
2508,10/11/2016 4:00:00 PM,2016,9.1809,10.440152926183707,5.7739437310067645,0.9585,0.5301,18.190567853705485,35.13513513513514
2521,10/12/2016 4:00:00 PM,2016,9.1809,16.008234486815017,7.587491422409568,1.4697,0.6966,16.09632446134347,0.0
2528,10/11/2016 4:00:00 PM,2016,9.1809,11.234192726203315,5.617096363101657,1.0314,0.5157,17.844202898550726,0.0
2542,10/12/2016 4:00:00 PM,2016,9.1809,13.02813449661798,4.921086168022743,1.1961,0.4518,4.0,0.0
2543,10/12/2016 4:00:00 PM,2016,9.1809,8.577590432310558,0.8038427605136751,0.7875,0.0738,13.18407960199005,0.0
2544,10/12/2016 4:00:00 PM,2016,9.1809,8.038427605136752,0.7352220370551906,0.738,0.0675,0.0,0.0
2545,10/12/2016 4:00:00 PM,2016,9.1809,7.822762474267228,1.3233996666993433,0.7182,0.1215,11.566617862371888,0.0
2546,10/12/2016 4:00:00 PM,2016,9.1809,14.978923634937752,7.94039800019606,1.3752,0.729,16.518163125428377,0.0
