ID,peak_date,VV_Min,VV_Max,VV_Mean,VV_IQR,VV_SD,VH_Min,VH_Max,VH_Mean,VH_IQR,VH_SD,VH_VV_Ratio
7342,10/10/2018 7:31:00 PM,-25.498516,8.426303,-10.6776495,3.1493349075317383,2.714193,-57.128235,1.7228165,-24.409506,9.840755462646484,7.6378994,2.2860374
7346,10/10/2018 8:48:00 AM,-25.498516,8.426303,-10.655503,3.3367083072662354,2.76326,-51.41803,1.7228165,-22.616758,11.01508378982544,7.6779556,2.1225424
7347,10/10/2018 8:48:00 AM,-25.498516,8.426303,-10.655503,3.3367083072662354,2.76326,-51.41803,1.7228165,-22.616758,11.01508378982544,7.6779556,2.1225424
7348,10/10/2018 5:38:00 PM,-33.20778,6.7550893,-11.681717,5.053839683532715,3.4755733,-49.416164,0.2662189,-22.817383,15.794493675231934,9.305101,1.9532559
7349,10/10/2018 5:38:00 PM,-34.12189,1.3767397,-11.81755,4.5587379932403564,3.3256092,-48.664837,0.0,-23.331556,16.34132432937622,9.601708,1.9743142
7350,10/10/2018 8:20:00 PM,-26.162815,8.383086,-9.739902,3.447263717651367,2.762831,-47.403145,0.0,-16.740831,5.436108589172363,4.503831,1.7187885
7351,10/10/2018 8:20:00 PM,-26.162815,8.383086,-9.739902,3.447263717651367,2.762831,-47.403145,0.0,-16.740831,5.436108589172363,4.503831,1.7187885
7352,10/10/2018 7:57:00 PM,-25.352732,0.0,-12.430535,3.3630409240722656,2.7754447,-47.481773,0.0,-23.851982,6.986873626708984,5.7426643,1.9188218
7353,10/10/2018 5:38:00 PM,-35.66357,0.0,-11.765092,4.601920127868652,3.3585436,-48.17317,0.0,-22.536856,15.728642463684082,9.361639,1.9155699
7354,10/10/2018 7:31:00 PM,-31.287537,0.47048962,-11.745766,4.6327714920043945,3.2297387,-48.16249,0.0,-21.438185,12.324515342712402,8.115668,1.8251841
7355,10/10/2018 7:57:00 PM,-25.352732,0.0,-12.430535,3.3630409240722656,2.7754447,-47.481773,0.0,-23.851982,6.986873626708984,5.7426643,1.9188218
7358,10/10/2018 7:31:00 PM,-32.427124,0.0,-10.565845,2.914116382598877,2.6359708,-48.412407,0.0,-17.643148,4.505876064300537,5.3530455,1.6698285
7359,10/10/2018 7:31:00 PM,-32.427124,0.0,-10.565845,2.914116382598877,2.6359708,-48.412407,0.0,-17.643148,4.505876064300537,5.3530455,1.6698285
7360,10/10/2018 5:38:00 PM,-33.20778,6.7550893,-11.369401,5.155754089355469,3.8181746,-49.416164,0.2662189,-20.847357,12.736628532409668,8.278764,1.8336372
7361,10/10/2018 7:31:00 PM,-32.427124,0.0,-10.565845,2.914116382598877,2.6359708,-48.412407,0.0,-17.643148,4.505876064300537,5.3530455,1.6698285
7362,10/10/2018 7:31:00 PM,-32.427124,0.0,-10.565845,2.914116382598877,2.6359708,-48.412407,0.0,-17.643148,4.505876064300537,5.3530455,1.6698285
7363,10/10/2018 7:31:00 PM,-32.4312,0.47048962,-12.130646,4.865657806396484,3.2605019,-48.163006,0.0,-22.923838,14.170083045959473,8.715959,1.8897458
7364,10/10/2018 7:31:00 PM,-26.22491,0.0,-12.73102,3.8602418899536133,2.8556898,-52.717247,0.0,-26.819891,10.680463790893555,8.035909,2.1066568
7365,10/10/2018 7:31:00 PM,-26.22491,0.0,-12.791624,3.8595221042633057,2.7540393,-52.717247,0.0,-26.937628,10.596132755279541,7.876998,2.1058803
7366,10/10/2018 7:31:00 PM,-27.715868,0.0,-12.553335,4.000892877578735,2.825527,-50.08935,0.0,-25.144907,12.357245922088623,8.125703,2.003046
7367,10/10/2018 8:48:00 AM,-24.75913,8.426303,-11.024508,3.0924270153045654,2.5699296,-57.128235,1.7228165,-25.447527,7.949951648712158,7.223196,2.3082685
7368,10/10/2018 8:48:00 AM,-24.75913,8.426303,-11.024508,3.0924270153045654,2.5699296,-57.128235,1.7228165,-25.447527,7.949951648712158,7.223196,2.3082685
7369,10/10/2018 7:31:00 PM,-25.498516,7.1757574,-10.298637,3.4803314208984375,2.8689833,-47.868168,0.0,-20.248661,10.649292945861816,7.574466,1.9661496
7370,10/10/2018 7:31:00 PM,-25.498516,7.1757574,-10.298637,3.4803314208984375,2.8689833,-47.868168,0.0,-20.248661,10.649292945861816,7.574466,1.9661496
7371,10/10/2018 8:48:00 AM,-27.826471,5.5842013,-10.176268,3.5039961338043213,2.84378,-47.863087,0.0,-17.461119,5.434978246688843,5.625513,1.7158667
7372,10/10/2018 8:48:00 AM,-27.826471,5.5842013,-10.176268,3.5039961338043213,2.84378,-47.863087,0.0,-17.461119,5.434978246688843,5.625513,1.7158667
7373,10/10/2018 7:31:00 PM,-34.21547,0.0,-11.326294,3.61019229888916,3.5773103,-48.157063,0.0,-18.844994,5.594573974609375,5.5998635,1.663827
7374,10/10/2018 7:31:00 PM,-34.21547,0.0,-11.363404,3.621973991394043,3.5677898,-48.157063,0.0,-18.925892,5.637394905090332,5.596217,1.6655124
7375,10/10/2018 7:31:00 PM,-34.21547,0.0,-10.361277,3.090852737426758,3.5436544,-48.155746,0.0,-17.044249,3.6581459045410156,5.0392814,1.644995
7376,10/10/2018 7:31:00 PM,-34.21547,0.0,-10.368529,3.0948562622070312,3.5497854,-48.155746,0.0,-17.066223,3.666748046875,5.0721455,1.6459637
7377,10/10/2018 7:31:00 PM,-34.21547,0.0,-10.323025,3.094540596008301,3.5987651,-48.155746,0.0,-16.985418,3.6585092544555664,5.1546307,1.6453916
7378,10/10/2018 6:40:00 PM,-26.196774,9.453502,-11.362265,2.0499391555786133,1.9613321,-48.39781,0.0,-29.931562,7.893440246582031,6.2470746,2.6342955
7379,10/10/2018 6:40:00 PM,-26.196774,9.453502,-11.349965,2.067660331726074,1.9964783,-48.404564,0.0,-29.813124,7.931243896484375,6.3430614,2.626715
7380,10/10/2018 6:40:00 PM,-26.196774,9.453502,-11.349965,2.067660331726074,1.9964783,-48.404564,0.0,-29.813124,7.931243896484375,6.3430614,2.626715
7386,10/10/2018 5:38:00 PM,-32.7442,6.7550893,-11.70088,5.017953872680664,3.5001006,-49.416164,0.2662189,-22.998224,16.0225248336792,9.44699,1.9655124
7388,10/10/2018 6:40:00 PM,-33.190845,1.1480201,-11.383032,4.650601387023926,3.3415096,-49.26516,0.0,-21.817434,14.91356372833252,9.125844,1.9166628
7390,10/10/2018 6:40:00 PM,-33.190845,1.1480201,-11.383032,4.650601387023926,3.3415096,-49.26516,0.0,-21.817434,14.91356372833252,9.125844,1.9166628
7394,10/10/2018 6:40:00 PM,-33.190845,0.41904813,-11.509943,4.475872993469238,3.1683993,-49.41619,0.0,-22.832571,15.689382553100586,9.310703,1.9837258
7398,10/10/2018 6:40:00 PM,-28.66474,0.0,-11.232725,4.210454940795898,2.9998195,-49.41619,0.0,-22.169804,15.307942390441895,9.201917,1.9736799
7402,10/10/2018 6:22:00 PM,-28.972576,5.693263,-11.799625,3.1310195922851562,2.8072252,-54.055458,3.526119,-29.030323,13.414270401000977,9.397056,2.460275
7403,10/10/2018 6:22:00 PM,-28.972576,5.693263,-11.799625,3.1310195922851562,2.8072252,-54.055458,3.526119,-29.030323,13.414270401000977,9.397056,2.460275
7404,10/10/2018 6:22:00 PM,-22.802153,5.693263,-11.149358,2.702259063720703,2.3959818,-51.99074,0.0,-27.206379,15.335289001464844,8.841116,2.4401746
7405,10/10/2018 6:40:00 PM,-31.746256,0.36781472,-11.621725,4.432439804077148,3.187167,-48.169228,0.0,-22.606956,15.577226638793945,9.193085,1.9452324
7406,10/10/2018 6:40:00 PM,-31.746256,0.36781472,-11.621725,4.432439804077148,3.187167,-48.169228,0.0,-22.606956,15.577226638793945,9.193085,1.9452324
7407,10/10/2018 6:22:00 PM,-22.802153,5.693263,-11.149358,2.702259063720703,2.3959818,-51.99074,0.0,-27.206379,15.335289001464844,8.841116,2.4401746
7410,10/10/2018 6:22:00 PM,-22.802153,4.381837,-11.313487,2.959500551223755,2.5733497,-48.570908,0.0,-25.901972,15.29860258102417,9.023088,2.2894773
7411,10/10/2018 7:31:00 PM,-32.4312,1.0165629,-12.239799,4.293737411499023,3.1321874,-48.173717,0.0,-24.312786,15.316754341125488,9.061566,1.9863714
7412,10/10/2018 6:22:00 PM,-22.802153,4.381837,-11.313487,2.959500551223755,2.5733497,-48.570908,0.0,-25.901972,15.29860258102417,9.023088,2.2894773
7413,10/10/2018 6:40:00 PM,-31.746256,0.36781472,-11.471395,4.5182600021362305,3.166986,-48.169006,0.0,-22.27016,15.408123016357422,9.136509,1.9413648
7414,10/10/2018 6:40:00 PM,-31.746256,0.36781472,-11.471395,4.5182600021362305,3.166986,-48.169006,0.0,-22.27016,15.408123016357422,9.136509,1.9413648
7415,10/10/2018 7:31:00 PM,-32.98496,1.0165629,-12.078069,4.450030326843262,3.1574686,-48.173717,0.0,-23.046247,14.25068187713623,8.731821,1.908107
7416,10/10/2018 6:22:00 PM,-23.156374,4.381837,-11.496074,3.129850149154663,2.5801237,-48.570908,0.0,-25.835073,15.900702953338623,9.073314,2.2472954
7417,10/10/2018 7:31:00 PM,-32.98496,1.0165629,-12.078069,4.450030326843262,3.1574686,-48.173717,0.0,-23.046247,14.25068187713623,8.731821,1.908107
7418,10/10/2018 6:22:00 PM,-23.156374,4.381837,-11.496074,3.129850149154663,2.5801237,-48.570908,0.0,-25.835073,15.900702953338623,9.073314,2.2472954
7419,10/10/2018 6:22:00 PM,-23.156374,5.3029294,-11.403226,2.7909231185913086,2.44265,-49.001472,0.0,-26.424984,16.2206449508667,9.090238,2.3173254
7420,10/10/2018 6:22:00 PM,-23.156374,5.3029294,-11.432336,2.864380359649658,2.6293235,-49.070637,0.70806754,-26.914173,17.05210828781128,9.373332,2.3542147
7421,10/10/2018 6:22:00 PM,-23.156374,5.3029294,-11.432336,2.864380359649658,2.6293235,-49.070637,0.70806754,-26.914173,17.05210828781128,9.373332,2.3542147
7422,10/10/2018 6:40:00 PM,-28.709276,1.761807,-11.2564335,3.7485389709472656,2.7993214,-50.018745,0.0,-22.535166,14.940737247467041,8.971861,2.001981
7423,10/10/2018 6:22:00 PM,-25.419882,3.5163338,-11.41371,2.743251323699951,2.5287151,-49.842827,0.70806754,-27.588503,16.317922115325928,9.101127,2.4171371
7424,10/10/2018 6:40:00 PM,-28.709276,1.761807,-11.2564335,3.7485389709472656,2.7993214,-50.018745,0.0,-22.535166,14.940737247467041,8.971861,2.001981
7425,10/10/2018 6:22:00 PM,-25.419882,3.5163338,-11.41371,2.743251323699951,2.5287151,-49.842827,0.70806754,-27.588503,16.317922115325928,9.101127,2.4171371
7426,10/10/2018 6:40:00 PM,-28.709276,1.761807,-11.143824,3.6130266189575195,2.6092863,-50.018745,0.0,-22.147839,14.555685043334961,8.775819,1.9874542
7427,10/10/2018 6:40:00 PM,-28.709276,1.761807,-11.143824,3.6130266189575195,2.6092863,-50.018745,0.0,-22.147839,14.555685043334961,8.775819,1.9874542
7428,10/10/2018 7:31:00 PM,-32.98496,1.0165629,-11.993627,4.196398496627808,2.9867532,-50.939587,0.0,-22.952005,14.034579515457153,8.578172,1.9136835
7431,10/10/2018 6:40:00 PM,-28.709276,1.761807,-11.1410265,3.636974334716797,2.6257234,-50.018745,0.0,-22.130068,14.54621696472168,8.774329,1.986358
7433,10/10/2018 6:40:00 PM,-28.709276,1.761807,-11.1410265,3.636974334716797,2.6257234,-50.018745,0.0,-22.130068,14.54621696472168,8.774329,1.986358
7435,10/10/2018 6:40:00 PM,-32.870888,0.33108708,-11.342431,3.456545829772949,2.669274,-50.18145,0.0,-22.855228,15.058365821838379,8.898533,2.0150204
7437,10/10/2018 6:40:00 PM,-32.870888,4.2972274,-11.315607,3.6258459091186523,2.7629817,-48.982742,0.0,-22.441196,14.812294960021973,8.817477,1.9832075
7438,10/10/2018 6:40:00 PM,-32.870888,4.2972274,-11.315607,3.6258459091186523,2.7629817,-48.982742,0.0,-22.441196,14.812294960021973,8.817477,1.9832075
7439,10/10/2018 6:40:00 PM,-26.196774,9.453502,-11.267197,2.111501693725586,2.0421524,-49.399235,0.0,-29.637756,7.866647720336914,6.357079,2.6304464
7440,10/10/2018 6:40:00 PM,-26.196774,9.453502,-11.252751,2.1134843826293945,2.0403707,-49.399235,0.0,-29.63564,7.874540328979492,6.38439,2.633635
7441,10/10/2018 7:31:00 PM,-29.08286,1.769279,-12.034814,3.737031936645508,2.7828088,-50.939587,0.0,-23.75298,14.186464309692383,8.738097,1.973689
7442,10/10/2018 6:40:00 PM,,,,,,,,,,,
7443,10/10/2018 6:40:00 PM,-23.700205,2.70573,-10.692273,2.8002147674560547,2.2678761,-48.31306,0.0,-21.363247,14.049151420593262,8.504837,1.998008
7444,10/10/2018 6:40:00 PM,,,,,,,,,,,
7446,10/10/2018 6:40:00 PM,,,,,,,,,,,
7447,10/10/2018 7:31:00 PM,-29.08286,1.769279,-11.898621,3.815098762512207,2.8019342,-50.939587,0.0,-23.030699,13.641780853271484,8.587093,1.9355772
7448,10/10/2018 6:40:00 PM,,,,,,,,,,,
7449,10/10/2018 6:40:00 PM,,,,,,,,,,,
7451,10/10/2018 5:38:00 PM,-24.683834,0.0,-11.864444,2.8461341857910156,2.398096,-50.94415,0.0,-28.088505,14.073467254638672,8.358312,2.3674524
7453,10/10/2018 6:40:00 PM,,,,,,,,,,,
7454,10/10/2018 8:19:00 PM,-21.949852,0.0,-9.367454,3.2578678131103516,2.5878808,-51.081646,0.0,-15.954764,4.1832275390625,4.0358005,1.7032125
7455,10/10/2018 8:19:00 PM,-21.949852,0.0,-9.367454,3.2578678131103516,2.5878808,-51.081646,0.0,-15.954764,4.1832275390625,4.0358005,1.7032125
7457,10/10/2018 5:38:00 PM,-24.40005,0.0,-11.749945,2.548811912536621,2.1998768,-49.745792,0.0,-30.092356,9.776578903198242,7.6332145,2.5610635
7458,10/10/2018 6:40:00 PM,,,,,,,,,,,
7460,10/10/2018 7:31:00 PM,-31.643988,0.6867294,-11.820496,3.8663952350616455,2.734059,-50.939587,0.0,-22.526917,13.200482368469238,8.355461,1.9057506
7461,10/10/2018 7:31:00 PM,-28.995245,1.769279,-11.948437,3.693253517150879,2.7583182,-50.939587,0.0,-23.755568,14.019750595092773,8.772362,1.9881737
7462,10/10/2018 7:31:00 PM,-28.995245,1.769279,-11.948437,3.693253517150879,2.7583182,-50.939587,0.0,-23.755568,14.019750595092773,8.772362,1.9881737
7463,10/10/2018 6:22:00 PM,-26.674665,9.99086,-11.262277,4.151572227478027,2.9577088,-50.305565,0.0,-23.44565,15.646212577819824,9.02476,2.081786
7464,10/10/2018 7:31:00 PM,-28.995245,1.769279,-11.948437,3.693253517150879,2.7583182,-50.939587,0.0,-23.755568,14.019750595092773,8.772362,1.9881737
7465,10/10/2018 6:22:00 PM,-26.674665,9.99086,-11.262277,4.151572227478027,2.9577088,-50.305565,0.0,-23.44565,15.646212577819824,9.02476,2.081786
