ID,latitude,longitude
770,42.95753,-91.62403
771,42.99784,-91.65801
772,42.99799,-91.65846
773,42.957825,-91.623983
774,42.957825,-91.623983
775,42.95753,-91.62403
776,42.99799,-91.65846
777,42.99784,-91.65801
778,42.957825,-91.623983
779,42.957825,-91.623983
780,43.039256,-91.770445
781,43.039101,-91.770061
782,43.017776,-91.730995
783,43.017973,-91.730625
784,43.054431,-91.808317
785,43.017973,-91.730625
786,43.039101,-91.770061
787,43.017776,-91.730995
788,43.017776,-91.730995
789,43.017776,-91.730995
790,43.051326,-91.841123
791,43.051103,-91.839521
792,43.054143,-91.808503
793,43.051326,-91.841123
794,43.051103,-91.839521
795,43.054143,-91.808503
796,43.051103,-91.839521
797,43.054143,-91.808503
2495,34.243578,-79.147747
2496,34.234797,-79.150886
2499,34.236166,-79.151271
2500,34.2267,-79.1417
2502,34.2322,-79.1434
2506,34.227779,-79.153377
2508,34.233,-79.1478
2521,34.345867,-79.15866
2528,34.237764,-79.151475
2542,34.350811,-79.154224
2543,34.342808,-79.141355
2544,34.347738,-79.141996
2545,34.355851,-79.150443
2546,34.34505,-79.169549
2547,34.346743,-79.166414
2548,34.348837,-79.165265
2549,34.348384,-79.165177
2550,34.348571,-79.165279
2552,34.349781,-79.16665
2555,34.349018,-79.165828
2687,34.58275,-79.42364
2688,34.58294,-79.42456
2689,34.58283,-79.42444
2690,34.58306,-79.42297
2691,34.60122,-79.45975
2692,34.159115,-79.221845
2693,34.159407,-79.221391
2694,34.145224,-79.207311
2695,34.144648,-79.200484
2704,34.48783,-79.39414
2705,34.48706,-79.39481
2706,34.33203,-79.32542
2707,34.61078,-79.50175
2708,34.30966,-79.23749
2709,34.30965,-79.23755
2710,34.30578,-79.24168
2711,34.30674,-79.24376
2712,34.30671,-79.24
2713,34.25212,-79.26633
2714,34.25224,-79.26634
2715,34.25547,-79.26719
2716,34.25542,-79.26713
2725,34.26666,-79.21639
2726,34.26654,-79.21668
2727,34.26616,-79.21661
2728,34.26619,-79.21635
2729,34.2664,-79.21505
2730,34.2664,-79.21491
2731,34.26631,-79.215
2732,34.23311,-79.19605
2733,34.23578,-79.19618
2734,34.20925,-79.17009
2735,34.20739,-79.173
2736,34.22903,-79.14123
2737,34.092922,-79.329987
2738,34.22857,-79.1424
2739,34.093243,-79.330071
2740,34.09337,-79.3297
2741,34.09289,-79.32961
2742,34.22402,-79.12374
2743,34.22456,-79.12341
2744,34.23586,-79.17752
2745,34.23572,-79.17698
2748,34.24445,-79.11298
2749,34.24508,-79.1132
2750,34.60209,-79.45917
2751,34.60247,-79.45917
2752,34.61072,-79.50142
2753,34.48783,-79.39406
2754,34.33258,-79.32447
2755,34.333,-79.32236
2756,34.331,-79.3275
2757,34.47686,-79.35608
2758,34.47683,-79.35611
2759,34.47689,-79.35606
2760,34.47736,-79.35608
2761,34.47678,-79.35364
2762,34.5058167,-79.4083167
2763,34.5058333,-79.408333
2764,34.507583,-79.40735
2765,34.419135,-79.249874
2766,34.418883,-79.24937
2767,34.41907,-79.24947
2768,34.41975,-79.24943
2769,34.41977,-79.24995
2770,34.419733,-79.24992
2771,34.419217,-79.25037
2772,34.418733,-79.25007
2773,34.419767,-79.249933
2774,34.4189,-79.25038
2775,34.418716,-79.250016
2776,34.3169833,-79.293517
2777,34.317,-79.292483
2778,34.31907,-79.288333
2779,34.319067,-79.28833
2780,34.319133,-79.287167
2781,34.31915,-79.2872
2782,33.8511044,-79.2792126
2783,33.8517295,-79.2802187
2784,33.8508738,-79.2798815
2785,33.8513241,-79.2813496
2790,33.6305898,-79.5006635
2791,33.6301613,-79.5006742
2792,33.6305745,-79.5011563
2793,33.6307168,-79.5008066
2800,34.946233,-79.689933
2801,34.9461167,-79.6901833
2802,34.9459833,-79.6910667
2803,34.946033,-79.6910833
2804,34.9472167,-79.691133
2805,34.946933,-79.690567
2806,34.946717,-79.690467
2807,34.4491518,-79.3599605
2808,34.4491209,-79.3598354
2809,34.4576302,-79.3541609
2810,34.4580661,-79.3539299
