ID,peak_date,nlcd_year,total_area_km2,pct_area_1,pct_area_2,area_km_1,area_km_2,cai_1,cai_2,pct_area_forest,area_km_forest,cai_forest,pct_area_shrubland,area_km_shrubland,cai_shrubland,pct_area_herbaceous,area_km_herbaceous,cai_herbaceous,pct_area_planted,area_km_planted,cai_planted,pct_area_wetlands,area_km_wetlands,cai_wetlands
770,8/25/2016 12:00:00 PM,2016,9.1809,7.695323987844328,4.960298009999019,0.7065,0.4554,12.198391420911529,0.0,24.056465052445837,2.2086,79.60027567195039,0.0,0.0,0.0,0.029408881482207626,0.0027,0.0,49.52455641603765,4.5468,69.56521739130434,9.04813253602588,0.8307,53.521126760563384
771,8/25/2016 12:00:00 PM,2016,9.1809,10.7930595039702,9.41084207430644,0.9909,0.864,17.604790419161677,0.0,18.96872855602392,1.7415,0.0,0.0,0.0,0.0,0.04901480247034604,0.0045,0.0,53.220272522301734,4.8861,5.882352941176471,0.7646309185373983,0.0702,0.0
772,8/25/2016 7:03:10 PM,2016,9.1809,10.695029899029507,9.41084207430644,0.9819,0.864,17.804878048780488,0.0,18.97853151651799,1.7424,0.0,0.0,0.0,0.0,0.04901480247034604,0.0045,0.0,53.33790804823057,4.8969,5.882352941176471,0.7744338790314674,0.0711,0.0
773,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0,24.360356827761983,2.2365,79.97364953886694,0.0,0.0,0.0,0.029408881482207626,0.0027,0.0,49.26967944319184,4.5234,70.04608294930875,9.05793549651995,0.8316,53.4375
774,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0,24.360356827761983,2.2365,79.97364953886694,0.0,0.0,0.0,0.029408881482207626,0.0027,0.0,49.26967944319184,4.5234,70.04608294930875,9.05793549651995,0.8316,53.4375
775,8/25/2016 12:00:00 PM,2016,9.1809,7.695323987844328,4.960298009999019,0.7065,0.4554,12.198391420911529,0.0,24.056465052445837,2.2086,79.60027567195039,0.0,0.0,0.0,0.029408881482207626,0.0027,0.0,49.52455641603765,4.5468,69.56521739130434,9.04813253602588,0.8307,53.521126760563384
776,8/25/2016 7:03:10 PM,2016,9.1809,10.695029899029507,9.41084207430644,0.9819,0.864,17.804878048780488,0.0,18.97853151651799,1.7424,0.0,0.0,0.0,0.0,0.04901480247034604,0.0045,0.0,53.33790804823057,4.8969,5.882352941176471,0.7744338790314674,0.0711,0.0
777,8/25/2016 12:00:00 PM,2016,9.1809,10.7930595039702,9.41084207430644,0.9909,0.864,17.604790419161677,0.0,18.96872855602392,1.7415,0.0,0.0,0.0,0.0,0.04901480247034604,0.0045,0.0,53.220272522301734,4.8861,5.882352941176471,0.7646309185373983,0.0702,0.0
778,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0,24.360356827761983,2.2365,79.97364953886694,0.0,0.0,0.0,0.029408881482207626,0.0027,0.0,49.26967944319184,4.5234,70.04608294930875,9.05793549651995,0.8316,53.4375
779,8/25/2016 12:00:00 PM,2016,9.1809,7.636506224879913,4.960298009999019,0.7011,0.4554,12.264150943396226,0.0,24.360356827761983,2.2365,79.97364953886694,0.0,0.0,0.0,0.029408881482207626,0.0027,0.0,49.26967944319184,4.5234,70.04608294930875,9.05793549651995,0.8316,53.4375
780,8/25/2016 12:00:00 PM,2016,9.1809,6.117047348299186,0.5293598666797372,0.5616,0.0486,15.909090909090908,0.0,14.38094304479953,1.3203,0.0,0.0,0.0,0.0,0.1176355259288305,0.0108,0.0,68.41486128810901,6.2811,25.0,4.940692089010882,0.4536,0.0
781,8/25/2016 12:00:00 PM,2016,9.1809,6.058229585334772,0.5195569061856681,0.5562,0.0477,15.853658536585366,0.0,14.322125281835113,1.3149,0.0,0.0,0.0,0.0,0.1176355259288305,0.0108,0.0,68.43446720909715,6.2829,0.0,5.097539456915989,0.468,0.0
782,8/25/2016 12:00:00 PM,2016,9.1809,5.7347318890304875,0.6371924321144986,0.5265,0.0585,5.0359712230215825,0.0,18.174688756004315,1.6686,54.85564304461942,0.0,0.0,0.0,0.009802960494069209,0.0009,0.0,69.25791589059897,6.3585,79.6665311102074,1.823350651896873,0.1674,28.333333333333332
783,8/25/2016 12:00:00 PM,2016,9.1809,5.842564454465248,0.6469953926085679,0.5364,0.0594,5.178571428571429,0.0,17.919811783158515,1.6452,54.6875,0.0,0.0,0.0,0.009802960494069209,0.0009,0.0,69.32653661405745,6.3648,79.45318972659486,1.8625624938731495,0.171,28.8135593220339
784,8/25/2016 12:00:00 PM,2016,9.1809,3.4506420939123617,0.5293598666797372,0.3168,0.0486,0.0,0.0,18.488383491814528,1.6974,58.273381294964025,0.0,0.0,0.0,0.009802960494069209,0.0009,0.0,69.87550240172531,6.4152,77.64158918005072,1.8527595333790805,0.1701,0.0
785,8/25/2016 12:00:00 PM,2016,9.1809,5.842564454465248,0.6469953926085679,0.5364,0.0594,5.178571428571429,0.0,17.919811783158515,1.6452,54.6875,0.0,0.0,0.0,0.009802960494069209,0.0009,0.0,69.32653661405745,6.3648,79.45318972659486,1.8625624938731495,0.171,28.8135593220339
786,8/25/2016 12:00:00 PM,2016,9.1809,6.058229585334772,0.5195569061856681,0.5562,0.0477,15.853658536585366,0.0,14.322125281835113,1.3149,0.0,0.0,0.0,0.0,0.1176355259288305,0.0108,0.0,68.43446720909715,6.2829,0.0,5.097539456915989,0.468,0.0
