Unnamed: 0,ID,longitude,latitude,maxwind_kph_day,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,dewpoint_c,uv,gust_kph,feelslike_c,windchill_c,heatindex_c,chance_of_rain,chance_of_snow,vis_km
520,5473,-81.44054,24.66241,112.8,103.6,0.788010753606722,984.0,19.98,82.0,25.5,0.0,146.8,35.0,29.0,35.0,100.0,0.0,6.0
521,5474,-81.43819,24.65016,112.8,103.6,0.788010753606722,984.0,19.98,82.0,25.5,0.0,146.8,35.0,29.0,35.0,100.0,0.0,6.0
522,5477,-81.73634,25.970864,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
523,5478,-81.7177,25.9141,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
524,5479,-81.7262,25.918,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
525,5480,-81.6971,25.91,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
526,5482,-81.782989,26.113204,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
527,5483,-81.782989,26.113204,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
528,5485,-81.722497,25.984201,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
529,5486,-81.699669,25.936742,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
530,5487,-81.65709,25.932545,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
531,5488,-81.648136,25.925669,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
532,5489,-81.643623,25.925035,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
533,5490,-81.64522,25.923767,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
534,5492,-81.711018,25.961386,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
535,5493,-81.731788,25.935389,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
536,5494,-81.358816,25.817466,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
537,5495,-81.358816,25.817466,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
538,5496,-81.384016,25.846538,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
539,5497,-81.388004,25.856238,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
540,5498,-81.377671,25.915698,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
541,5500,-81.359943,25.810247,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
542,5501,-81.3636,25.8125,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
543,5502,-81.368528,25.846889,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
544,5503,-81.383746,25.870766,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
545,5504,-81.385488,25.858679,88.0,42.5,0.7771459614569708,1002.0,2.2,76.0,23.0,0.0,67.1,28.9,26.0,28.9,100.0,0.0,10.0
546,5507,-81.5191,24.6602,112.8,103.6,0.788010753606722,984.0,19.98,82.0,25.5,0.0,146.8,35.0,29.0,35.0,100.0,0.0,6.0
547,5799,-66.27728,18.47617,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
548,5800,-66.27717,18.47639,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
549,5801,-66.48217,17.98982,83.7,24.7,-0.2249510543438653,1005.0,0.5,77.0,22.6,0.0,46.3,30.1,27.1,30.1,100.0,0.0,5.0
550,5802,-66.61814,17.97797,83.7,24.7,-0.2249510543438653,1005.0,0.5,77.0,22.6,0.0,46.3,30.1,27.1,30.1,100.0,0.0,5.0
551,5807,-66.4110469,17.9563273,83.7,24.7,-0.2249510543438653,1005.0,0.5,77.0,22.6,0.0,46.3,30.1,27.1,30.1,100.0,0.0,5.0
552,5808,-66.32119,18.34174,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
553,5809,-66.319762,18.341985,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
554,5817,-66.321559,18.341874,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
555,5830,-66.31444,18.33381,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
556,5831,-66.31691,18.33923,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
557,5832,-66.3194,18.33832,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
558,5836,-66.72198889,18.46334444,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
559,5837,-66.72372222,18.463625,89.2,31.7,0.3907311284892737,1008.0,0.9,84.0,24.6,0.0,58.4,29.1,26.1,29.1,100.0,0.0,7.0
560,5838,-66.52555,18.46705,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
561,5839,-66.52642,18.4476,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
562,5840,-66.53528,18.47978,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
563,5841,-66.53528,18.47978,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
564,5843,-66.53193056,18.46477778,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
565,5844,-66.53193056,18.46477778,89.6,32.0,0.2756373558169991,1007.0,0.9,84.0,23.8,0.0,54.7,30.4,26.8,30.4,100.0,0.0,7.0
566,5853,-66.259469,18.45645278,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
567,5854,-66.2647,18.45669722,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
568,5855,-66.26986,18.45880556,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
569,5856,-66.27451667,18.43278611,91.5,32.6,0.2419218955996677,1007.0,6.0,83.0,24.3,0.0,65.2,28.8,26.0,28.8,100.0,0.0,7.0
